ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
1,Percentage of households consuming iodized salt (>0 ppm),,Percentage of surveyed households which have salt they used for cooking that tested positive (>0ppm) for presence of iodine,Proportion,Number of surveyed households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Number of surveyed households,,Micronutrients,Iodine,IOD_ANY_HH,NT_IOD_ANY_HH,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
2,Percentage of children (0-59 months) living in households consuming iodized salt (>0 ppm),,Percentage of children living in households consuming iodized salt (>0 ppm),Proportion,Number of under-fives living in surveyed households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Children under 5 years of age in the surveyed population,,Micronutrients,Iodine,IOD_ANY_U5,NT_IOD_ANY_U5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
3,Percentage of children (0-59 months) living in tested households consuming iodized salt (>0 ppm),,Percentage of households consuming iodized salt (>0 ppm),Proportion,Number of children living in tested households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine.,Children under 5 years of age living in tested households,,Micronutrients,Iodine,IOD_TH_U5,NT_IOD_TH_U5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
4,Semester 1 VAS Coverage (January to June),Vitamin A Supplementation Semester 1 Coverage,Percentage of children 6–59 months of age who received an age appropriate dose of vitamin A in semester 1 through the main distribution mechanism,Proportion,Number of children aged 6–59 months that received an age appropriate dose of vitamin A through the main distribution mechanism in semester 1,Total population of children aged 6–59 months,"Only priority countries for national level programmes are included in this database

Main distribution mechanism is defined as the mechanism that achieved the highest coverage in the semester.",Micronutrients,Vitamin A,VAS_S1,NT_VAS_S1,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Crude Country Weighted Aggregation,6 to 59 months,,Not Applicable,,,pop_month_6_59,"Division of Analysis, Planning and Monitoring, UNICEF, Programme Division, UNICEF"
5,Semester 2 VAS Coverage (July to December),Vitamin A Supplementation Semester 2 Coverage,Percentage of children 6–59 months of age who received an age appropriate dose of vitamin A in semester 2 through the main distribution mechanism,Proportion,Number of children aged 6–59 months that received an age appropriate dose of vitamin A through the main distribution mechanism in semester 2,Total population of children aged 6–59 months,"Only priority countries for national level programmes are included in this database

Main distribution mechanism is defined as the mechanism that achieved the highest coverage in the semester.",Micronutrients,Vitamin A,VAS_S2,NT_VAS_S2,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Crude Country Weighted Aggregation,6 to 59 months,,Not Applicable,,,pop_month_6_59,"Division of Analysis, Planning and Monitoring, UNICEF, Programme Division, UNICEF"
6,Iodized salt consumption (>0 ppm) among all tested households,Percentage of households consuming iodized salt (>0 ppm) among all tested households,Percentage of tested households which have salt they used for cooking that tested positive (>0ppm) for presence of iodine,Proportion,Number of tested households which had salt they used for cooking which tested positive (>0ppm) for presence of iodine,Number of tested households,,Micronutrients,Iodine,IOD_ANY_TH,NT_IOD_ANY_TH,True,True,False,,True,1.15,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,Total Population,,Active,,,pop_year_0_100,"Division of Analysis, Planning and Monitoring, UNICEF"
7,Iodized salt consumption (>0 ppm) among all tested households with salt,Percentage of households consuming iodized salt (>0 ppm) among all tested households with salt,"Percentage of households, which had salt they used for cooking, which tested positive (>0ppm) for presence of iodine.",Proportion,"Number of surveyed households, which had salt they used for cooking, which tested positive (>0ppm) for presence of iodine",Number of tested households that had salt,,Micronutrients,Iodine,IOD_ANY_TS,NT_IOD_ANY_TS,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,Total Population,,Active,,,pop_year_0_100,"Division of Analysis, Planning and Monitoring, UNICEF"
8,Percentage of households consuming non-iodized salt (0 ppm),,Percentage of surveyed households which have salt they used for cooking that tested negative (0ppm) for presence of iodine,Proportion,Number of surveyed households which had salt they used for cooking which tested negative (0ppm) for presence of iodine,Number of surveyed households,,Micronutrients,Iodine,IOD_NO_HH,NT_IOD_NO_HH,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,,,Not Applicable,​​,,,"Division of Analysis, Planning and Monitoring, UNICEF"
9,Percentage of households with salt test results flagged as not tested,,Percentage of surveyed households with salt test results explicitly flagged as not tested,Proportion,Number of surveyed households with salt testing results explicitly flagged as not tested,Number of surveyed households,,Micronutrients,Iodine,IOD_NO_TEST_HH,NT_IOD_NO_TEST_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
10,Percentage of households with salt test results flagged as missing,,Percentage of surveyed households with salt test results explicitly flagged as missing,Proportion,Number of surveyed households with salt testing results explicitly flagged as missing,Number of surveyed households,,Micronutrients,Iodine,IOD_MISS_SALT_HH,NT_IOD_MISS_SALT_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
11,Percentage of households with salt test results flagged as system missing,,"Percentage of surveyed households with salt test results flagged as system missing (""."")",Proportion,"Number of surveyed households with salt testing results flagged as system missing (""."")",Number of surveyed households,,Micronutrients,Iodine,IOD_SYSMIS_SALT_HH,NT_IOD_SYSMIS_SALT_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
12,Percentage of households with no salt,,Percentage of surveyed households reported as having no salt for cooking at home during the time of testing,Proportion,Number of surveyed households which had no salt they used for cooking at the time of testing,Number of surveyed households,,Micronutrients,Iodine,IOD_NO_SALT_HH,NT_IOD_NO_SALT_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
13,Percentage of households with salt test results flagged as undetermined,,Percentage of surveyed households with salt test results explicitly flagged as undetermined,Proportion,Number of surveyed households with salt testing results explicitly flagged as undetermined,Number of surveyed households,,Micronutrients,Iodine,IOD_UDT_SALT_HH,NT_IOD_UDT_SALT_HH,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 80+,Crude Country Weighted Aggregation,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
14,Height-for-age <-3 SD (Severe Stunting),Children (<5 years) who are severely stunted,Percentage of under-fives falling below minus 3 standard deviations (severe) from the median height-for-age of the reference population,Proportion,Number of under-fives falling below minus 3 standard deviations (severe) from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_HAZ_NE3,NT_ANT_HAZ_NE3,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
15,Height-for-age <-2 SD (Stunting),Children (<5 years) who are stunted (Survey Estimates),Percentage of under-fives falling below minus 2 standard deviations (moderate and severe) from the median height-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate and severe) from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_NE2,NT_ANT_HAZ_NE2,True,True,True,2.2.1,True,,True,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Active,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
16,Height-for-age <-1 SD,,Percentage of under-fives falling below minus 1 standard deviations from the median height-for-age of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_NE1,NT_ANT_HAZ_NE1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
17,Height-for-age >+1 SD,,Percentage of under-fives falling above plus 1 standard deviation from the median height-for-age of the reference population,Proportion,Number of under-fives falling above plus 1 standard deviation from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_PO1,NT_ANT_HAZ_PO1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
18,Height-for-age >+2 SD,,Percentage of under-fives falling above plus 2 standard deviations from the median height-for-age of the reference population,Proportion,Number of under-fives falling above plus 2 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_PO2,NT_ANT_HAZ_PO2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
19,Height-for-age >+3 SD,,Percentage of under-fives falling above plus 3 standard deviations from the median height-for-age of the reference population,Proportion,Number of under-fives falling above plus 3 standard deviations from the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_PO3,NT_ANT_HAZ_PO3,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
20,Mean Height-for-age,,Mean height-for-age z-scores of under-fives,Number,Sum of height-for-age z-scores of under-fives compared to the median height-for-age of the reference population,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_AVG,NT_ANT_HAZ_AVG,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
21,Height-for-age (Standard Deviation),,Standard deviations of height-for-age z-scores of under-fives compared to the median height-for-age of the reference population,Number,,Children under 5 years of age in the surveyed population with valid height-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_HAZ_SD,NT_ANT_HAZ_SD,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
22,Weight-for-age <-3 SD (Severe Underweight),Children (<5 years) who are severely underweight,Percentage of under-fives falling below minus 3 standard deviations (severe) from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below minus 3 standard deviations (severe) from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WAZ_NE3,NT_ANT_WAZ_NE3,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
23,Weight-for-age <-2 SD (Underweight),Children (<5 years) who are underweight,Percentage of under-fives falling below minus 2 standard deviations (moderate and severe) from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate and severe) from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_NE2,NT_ANT_WAZ_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Active,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
24,Weight-for-age <-1 SD,,Percentage of under-fives falling below minus 1 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WAZ_NE1,NT_ANT_WAZ_NE1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
25,Weight-for-age >+1 SD,,Percentage of under-fives falling above plus 1 standard deviation from the median weight-for-age of the reference population,Proportion,Number of under-fives falling above plus 1 standard deviation from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_PO1,NT_ANT_WAZ_PO1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
26,Weight-for-age (>+2 SD),,Percentage of under-fives falling above plus 2 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling above plus 2 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_PO2,NT_ANT_WAZ_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
27,Weight-for-age (>+3 SD),,Percentage of under-fives falling above plus 2 standard deviations from the median weight-for-age of the reference population,Proportion,Number of under-fives falling above plus 2 standard deviations from the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_PO3,NT_ANT_WAZ_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
28,Weight-for-age (Mean),,Mean weight-for-age z-scores of under-fives,Number,Sum of weight-for-age z-scores of under-fives compared to the median weight-for-age of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_AVG,NT_ANT_WAZ_AVG,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
29,Weight-for-age (Standard Deviation),,Standard deviations of weight-for-age z-scores of under-fives compared to the median weight-for-age of the reference population,Number,,Children under 5 years of age in the surveyed population with valid weight-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_WAZ_SD,NT_ANT_WAZ_SD,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
30,Weight-for-height <-3 SD (Severe wasting),Children (<5 years) who are severely wasted,Percentage of children under 5 years of age falling below -3 standard deviations (severe) from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling below -3 standard deviations (severe) from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_NE3,NT_ANT_WHZ_NE3,True,True,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Active,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
31,Weight-for-height <-2 SD (Wasting),Children (<5 years) who are wasted,Percentage of children under 5 years of age falling below -2 standard deviations (moderate and severe) from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling below -2 standard deviations (moderate and severe) from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_NE2,NT_ANT_WHZ_NE2,True,True,True,2.2.2a,True,,False,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Active,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
32,Weight-for-height <-1 SD,,Percentage of children under 5 years of age falling below -1 standard deviations (severe) from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling below -1 standard deviations (severe) from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_NE1,NT_ANT_WHZ_NE1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
33,Weight-for-height >+1 SD,,Percentage of children under 5 years of age falling above 1 standard deviations from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling above 1 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_PO1,NT_ANT_WHZ_PO1,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
34,Weight-for-height >+2 SD (Overweight),Children (<5 years) who are overweight (Survey Estimates),Percentage of children under 5 years of age falling above 2 standard deviations (moderate and severe) from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling above 2 standard deviations (moderate and severe) from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_PO2,NT_ANT_WHZ_PO2,True,True,True,2.2.2b,False,,False,False,,Middle of Fieldwork,0 to 59 months,Modelled,0 to 59 months,,Active,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
35,Weight-for-height >+3 SD,,Percentage of children under 5 years of age falling above 3 standard deviations (severe) from the median weight-for-height of the reference population,Proportion,Number of children under 5 years of age falling above 3 standard deviations (severe) from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,WHO Child Growth Standards 2006,Anthropometry,Child Anthropometry,ANT_WHZ_PO3,NT_ANT_WHZ_PO3,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
36,Mean Weight-for-height,,Mean weight-for-height z-scores of under-fives,Number,Sum of weight-for-height z-scores of under-fives compared to the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,,Anthropometry,Child Anthropometry,ANT_WHZ_AVG,NT_ANT_WHZ_AVG,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
37,Weight-for-height (Standard Deviation),,Standard deviations of weight-for-height z-scores of under-fives compared to the median height-for-age of the reference population,Number,,Children under 5 years of age in the surveyed population with valid weight-for-height z-scores,,Anthropometry,Child Anthropometry,ANT_WHZ_SD,NT_ANT_WHZ_SD,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
38,BMI-for-age <-3 SD,,Percentage of under-fives falling below minus 3 standard deviations (severe) from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below minus 3 standard deviations (severe) from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_NE3,NT_ANT_BAZ_NE3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
39,BMI-for-age <-2 SD,,Percentage of under-fives falling below minus 2 standard deviations (moderate and severe) from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below minus 2 standard deviations (moderate and severe) from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_NE2,NT_ANT_BAZ_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
40,BMI-for-age <-1 SD,,Percentage of under-fives falling below minus 1 standard deviation from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling below minus 1 standard deviations from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_NE1,NT_ANT_BAZ_NE1,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
41,BMI-for-age >+1 SD,,Percentage of under-fives falling above plus 1 standard deviation from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling above plus 1 standard deviation from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_PO1,NT_ANT_BAZ_PO1,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
42,BMI-for-age >+2 SD,,Percentage of under-fives falling above plus 2 standard deviations (moderate and severe) from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling above plus 2 standard deviations (moderate and severe) from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_PO2,NT_ANT_BAZ_PO2,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
43,BMI-for-age >+3 SD,,Percentage of under-fives falling above plus 3 standard deviations (severe) from the median BMI-for-age of the reference population,Proportion,Number of under-fives falling above plus 3 standard deviations (severe) from the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_PO3,NT_ANT_BAZ_PO3,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
44,Mean BMI-for-age,,Mean BMI-for-age z-scores of under-fives compared to the median BMI-for-age of the reference population,Number,Sum of BMI-for-age z-scores of under-fives compared to the median BMI-for-age of the reference population,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_AVG,NT_ANT_BAZ_AVG,False,False,False,,False,,False,False,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
45,BMI-for-age (Standard Deviation),,Standard deviations of BMI-for-age z-scores of under-fives compared to the median BMI-for-age of the reference population,Number,,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_BAZ_SD,NT_ANT_BAZ_SD,False,False,False,,False,,False,True,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
46,Height-for-age <-2SD & Weight-for-height >+2SD,Stunted and Overweight (WHZ > +2 but HAZ ≥-2),Percentage of children under 5 years of age who are both stunted and overweight,Proportion,Number of children under 5 falling below -2 standard deviations from the median height for age and falling at or above +2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid heights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_HAZWHZ_NE2_PO2,NT_ANT_HAZWHZ_NE2_PO2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Classified,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
47,Height-for-age <-2SD & Weight-for-height <-2SD,Wasted and Stunted (WHZ <-2 AND HAZ <-2),Percentage of children under 5 years of age who are both wasted and stunted,Proportion,Number of children under 5 falling below -2 standard deviations from the median weight-for-height and falling below -2 standard deviations from the median height for age of the reference population,Children under 5 years of age in the surveyed population with valid heights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_HAZWHZ_NE2_NE2,NT_ANT_HAZWHZ_NE2_NE2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF, World Bank, World Health Organization"
48,Height-for-age <-3SD & Weight-for-height >+2SD,Severely stunted and overweight ((WHZ > +2 but HAZ ≥-3),Percentage of children under 5 years of age who are both overweight and severely stunted,Proportion,Number of children under 5 falling below -3 standard deviations from the median height for age and falling at or above +2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population with valid heights-for-age and valid weights-for-height,,Anthropometry,Child Anthropometry,ANT_HAZWHZ_NE3_PO2,NT_ANT_HAZWHZ_NE3_PO2,False,False,False,,False,,False,False,,Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
